"city_id","city_name"
"5","Campbell River"
"230","Kanata"
"9","Cobble Hill"
"10","Coombs"
"12","Cumberland"
"14","Duncan"
"15","Errington"
"18","Ladysmith"
"19","Lake Cowichan"
"20","Langford"
"22","Lantzville"
"24","Nanaimo"
"25","Nanoose Bay"
"29","Parksville"
"30","Port Alberni"
"32","Port McNeill"
"34","Qualicum Beach"
"37","Sidney"
"40","Shawnigan Lake"
"42","Sooke"
"45","Victoria"
"50","Cedar"
"51","Colwood"
"52","Comox"
"55","Crofton"
"57","Fanny Bay"
"60","Malahat"
"61","Merville"
"64","North Saanich"
"68","Ucluelet"
"70","Youbou"
"99","Vancouver Island - Various Location Tenders"
"96","Sayward District"
"229","Saskatoon"
"100","BC - Various Location Tenders"
"102","Cowichan Bay"
"97","Powell River"
"95","Haida Gwaii"
"72","Oak Bay"
"73","Esquimalt"
"74","Saanich"
"75","Central Saanich"
"76","View Royal"
"77","Highlands"
"78","Metchosin"
"79","Capital Regional District"
"80","CRD - Gulf Islands"
"81","Cowichan Valley RD"
"82","North Cowichan"
"83","Chemainus"
"84","Nanaimo RD"
"85","Alberni/Clayoquot RD"
"361","London, ON"
"103","Courtenay"
"86","Strathcona RD"
"87","Gold River"
"88","Tahsis"
"89","Port Alice"
"90","Zeballos"
"91","Port Hardy"
"92","Mt Waddington RD"
"93","Tofino"
"94","Alert Bay"
"105","Bowser"
"110","Black Creek"
"111","Chilliwack"
"113","Surrey"
"114","Kamloops"
"115","Saturna Island"
"116","Mayne Island"
"117","Pender Island"
"118","Thetis Island"
"119","Mill Bay"
"120","Vernon"
"121","Saanichton"
"122","Salt Spring Island"
"123","Ganges"
"124","Brentwood Bay"
"125","Calgary"
"126","Gabriola Island"
"127","Cherry Creek"
"128","Sproat Lake"
"129","Spruce Grove"
"130","Richmond"
"131","Abbotsford"
"132","Pitt Meadows"
"133","Royston"
"134","Lazo"
"135","Edmonton"
"136","Winnipeg"
"138","Langley"
"139","North Vancouver"
"140","Port Renfrew"
"142","Kelowna"
"143","Toronto"
"144","Ottawa"
"145","Coquitlam"
"146","Gloucester"
"147","New Westminster"
"148","Ladner"
"149","Dartmouth"
"150","Two Hills"
"151","Sechelt"
"152","Toronto"
"153","Gatineau"
"154","West Vancouver"
"155","Cassidy"
"156","Port Coquitlam"
"157","Red Deer"
"158","Comox Valley RD"
"159","Sunshine Coast"
"160","Lethbridge"
"162","Mission"
"163","Armstrong"
"164","Union Bay"
"165","Penticton"
"166","Mississauga"
"167","Cranbrook"
"168","Acheson"
"169","Aldergrove"
"170","Markham"
"171","Ajax"
"172","Nelson"
"173","Thornhill"
"174","Gormley"
"198","Peachland"
"176","Montreal"
"177","Scarborough"
"178","Regina"
"179","St Albert"
"180","Port Moody"
"182","Salmon Arm"
"183","Revelstoke"
"184","Squamish"
"185","Maple Ridge"
"186","Denman Island"
"187","Carp"
"188","Brandon"
"189","Hamilton"
"190","Castlegar"
"191","Fernie"
"192","Quadra Island"
"193","Crossfield"
"194","Roberts Creek"
"195","Oyama"
"196","Merritt"
"197","Stony Beach"
"199","Oakville"
"200","Whistler"
"202","Huntsville"
"203","LaSalle"
"204","Woodstock"
"205","Owen Sound"
"206","Pemberton"
"207","Terrace"
"208","Cambridge"
"210","Oshawa"
"211","Jasper"
"212","Elmira"
"213","Williams Lake"
"214","Coaldale"
"215","Mechanicsburg"
"216","Houston"
"217","Bellevue"
"218","Seattle"
"219","Kemptville"
"220","Minneapolis"
"221","Trail"
"222","Agassiz"
"226","Spuzzum"
"227","Lakewood"
"231","Port Clements"
"233","Headingley"
"234","Mesachie Lake"
"235","White Rock"
"236","Banff"
"237","Banff"
"238","Heriot Bay"
"239","Bella Bella"
"240","Boston"
"241","Chapleau"
"242","North York"
"243","Kingston"
"244","Val D'Or"
"245","Gig Harbour"
"246","Saguenay"
"247","Virden"
"248","Tualatin"
"249","Westland"
"250","Brampton"
"251","Kitchener"
"252","Okotoks"
"253","Huntingdon"
"254","Ferndale"
"255","Halifax"
"256","Morriston"
"257","Goleta"
"258","Waterloo"
"259","Princeton"
"260","Portland"
"261","Pointe Claire"
"262","Fredericton"
"263","Summerland"
"264","Burlington"
"265","Quatsino"
"266","Port Elgin"
"267","Georgetown"
"268","Daajing Giids"
"269","Halton Hills"
"270","Bragg Creek"
"271","Laval"
"272","Dauphin"
"273","Honeymoon Bay"
"274","Spruce Home"
"275","Milpitas"
"276","Avon"
"277","Almonte"
"278","St-Laurent"
"279","Guelph"
"280","Creston"
"281","Hope"
"282","Belleville"
"283","Lone Butte"
"284","Sudbury"
"285","Gibsons"
"286","Yellowknife"
"287","Smithers"
"288","Bouctouche"
"289","BC"
"291","Columbus"
"292","Hornby Island"
"293","Moffatt"
"294","Atlanta"
"295","Quebec"
"296","Nanaimo Applications"
"297","Saanich Applications"
"298","Port Alberni Applications"
"299","North Cowichan Applications"
"300","Oak Bay Applications"
"301","Masset"
"302","Fort McMurray"
"303","Pickering"
"304","Parksville Applications"
"305","Bowen Island"
"306","Oakbank"
"307","Richmond Hill"
"308","Concord"
"309","Jordan River"
"310","Kenora"
"311","Enderby"
"312","South Baptiste"
"313","Whitby"
"314","Vegreville"
"315","Perkinsfield"
"316","Fort Nelson"
"317","Manson's Landing"
"318","Colleyville"
"319","Port Dover"
"320","Burnsville"
"322","Chicago"
"323","Meadowbrook"
"347","Bamberton"
"327","Sidney Applications"
"345","Trail"
"348","Dorval"
"349","Stony Plain"
"356","Cobble Hill"
"350","Galiano Island"
"351","Shirley"
"352","Airdrie"
"353","Prince George"
"354","Bowen Island"
"355","Schooner Cove"
"357","Merville"
"358","Prince Rupert"
"359","qathet RD"
"360","Steinbach"
"363","70 Mile House"
